Participant._id_in_session,Participant.code,Participant.label,Participant._current_page,Participant._current_app_name,Participant._round_number,Participant._current_page_name,Participant.status,Participant.ip_address,Participant.time_started,Participant.exclude_from_data_analysis,Participant.name,Participant.visited,Participant.mturk_worker_id,Participant.mturk_assignment_id,Player.id_in_group,Player.role,Player.id,Player.payoff,Player.q_age,Player.q_gender,Player.q_estrato,Player.q_game_part,Player.q_part_time,Player.q_graduated,Player.q_career_1,Player.q_career_2,Player.q_postgraduate,Player.q_master_1,Player.q_master_2,Player.p_risk,Player.p_compet_1,Player.p_compet_2,Player.p_compet_3,Player.p_compet_4,Player.p_compet_5,Player.p_compet_6,Player.g_pref_stage,Player.g_pref_rk_1,Player.g_pref_rk_2,Player.g_pref_rk_3,Player.p_trust_1,Player.p_trust_2,Player.p_trust_3,Player.p_trust_4,Player.p_trust_5,Group.id,Subsession.id,Subsession.round_number,Session.code,Session.label,Session.experimenter_name,Session.real_world_currency_per_point,Session.time_scheduled,Session.time_started,Session.mturk_HITId,Session.mturk_HITGroupId,Session.participation_fee,Session.comment,Session.is_demo,Session.use_cli_bots
P11,f280m8m4,,121/121 pages,MLG_survey,1,Payment_info,Playing,10.142.28.175,2016-08-17 19:03:14.552241+00:00,0,89,1,,,11,,87,0,20,Hombre,5,NO,0,NO,Derecho,Industrial,NO,ninguna,ninguna,10,1,4,2,3,1,2,3,1,1,1,2,1,2,3,3,6,6,1,toa1clbi,,,200.00000,,,,,5000.00,,1,
P17,qkte6tvp,,121/121 pages,MLG_survey,1,Payment_info,Playing,10.164.188.200,2016-08-16 22:13:24.402613+00:00,0,75,1,,,17,,73,0,18,Mujer,2,NO,0,NO,ingenieria Quimica,ninguna,NO,ninguna,ninguna,8,2,2,2,1,1,2,2,1,2,3,2,2,1,3,1,5,5,1,bvnew5m2,,,200.00000,,,,,5000.00,,1,
P3,nopua2wp,,121/121 pages,MLG_survey,1,Payment_info,Playing,10.184.171.93,2016-08-17 19:08:05.645207+00:00,0,81,1,,,3,,79,0,18,Hombre,5,NO,0,NO,Economía,ninguna,NO,ninguna,ninguna,5,3,3,1,2,1,2,1,3,1,1,2,2,3,4,2,6,6,1,toa1clbi,,,200.00000,,,,,5000.00,,1,
P6,n12v9g09,,121/121 pages,MLG_survey,1,Payment_info,Playing,10.65.61.198,2016-08-16 22:19:20.647703+00:00,0,64,1,,,6,,62,0,20,Hombre,3,NO,0,NO,Ingeniería Eléctrica,ninguna,NO,ninguna,ninguna,4,1,3,2,2,1,2,1,2,1,2,2,1,1,3,1,5,5,1,bvnew5m2,,,200.00000,,,,,5000.00,,1,
P10,zsd957pj,,121/121 pages,MLG_survey,1,Payment_info,Playing,10.165.96.2,2016-08-16 22:17:29.922747+00:00,0,68,1,,,10,,66,0,24,Mujer,4,NO,0,SI,ingenieria Quimica,Microbiologia,SI,Ingenieria quimica,ninguna,8,3,3,1,3,3,2,2,3,2,1,3,2,3,3,4,5,5,1,bvnew5m2,,,200.00000,,,,,5000.00,,1,
P4,gp60ys17,,121/121 pages,MLG_survey,1,Payment_info,Playing,10.30.50.142,2016-08-16 22:20:04.611630+00:00,0,62,1,,,4,,60,0,18,Mujer,3,SI,1,NO,Economía,Ninguna,NO,Ninguna,Ninguna,5,3,2,2,2,2,2,3,1,3,1,2,2,2,3,2,5,5,1,bvnew5m2,,,200.00000,,,,,5000.00,,1,
P8,04i0e3tc,,121/121 pages,MLG_survey,1,Payment_info,Playing,10.164.188.200,2016-08-16 22:18:28.801257+00:00,0,66,1,,,8,,64,0,22,Hombre,4,NO,0,NO,Psicologia,ninguna,NO,ninguna, ninguna,7,1,1,2,1,1,3,2,1,3,1,2,2,4,3,1,5,5,1,bvnew5m2,,,200.00000,,,,,5000.00,,1,
P20,o8kuwvob,,121/121 pages,MLG_survey,1,Payment_info,Playing,10.81.228.101,2016-08-16 22:12:10.045511+00:00,0,78,1,,,20,,76,0,19,Hombre,3,SI,1,NO,Economía,Gobierno,NO,ninguna,ninguna,4,3,3,2,2,1,2,2,1,2,1,2,2,2,3,2,5,5,1,bvnew5m2,,,200.00000,,,,,5000.00,,1,
P13,jtg3crtq,,121/121 pages,MLG_survey,1,Payment_info,Playing,10.111.201.32,2016-08-16 22:15:39.902576+00:00,0,71,1,,,13,,69,0,19,Mujer,4,NO,0,NO,derecho,sociologia ,NO,ninguna,ninguna ,4,3,3,1,3,3,2,3,2,2,2,1,1,2,2,2,5,5,1,bvnew5m2,,,200.00000,,,,,5000.00,,1,
P15,ybhs2ly6,,121/121 pages,MLG_survey,1,Payment_info,Playing,10.69.216.189,2016-08-16 22:14:30.468073+00:00,0,73,1,,,15,,71,0,20,Mujer,5,NO,0,NO,Ingenieria electroni,Ingenieria industria,SI,ninguna,ninguna,6,2,2,2,4,3,2,2,1,3,1,2,2,2,2,3,5,5,1,bvnew5m2,,,200.00000,,,,,5000.00,,1,
